Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
5.6313,13.5140,4771,KWAKWAZO,5,SOKOTO,SO,GORONYO,5,0.4664292003,0.0094947489,GORONYOKWAKWAZO
5.7362,12.3584,4791,KWARARE,10,SOKOTO,SO,TURETA,20,0.1367697409,0.0005552178,TURETAKWARARE
5.2661,13.2197,4795,KWARE,1,SOKOTO,SO,KWARE,10,0.0212074812,0.00002847892,KWAREKWARE
6.6060,12.9572,4796,KWARE,6,ZAMFARA,ZF,SHINKAFI,11,0.2442944855,0.0024300662,SHINKAFIKWARE
6.7765,11.9138,4797,KWAREN GANUWA,1,ZAMFARA,ZF,TSAFE,13,0.4003136232,0.0089885119,TSAFEKWAREN GANUWA
5.5013,13.2880,4798,KWARGABA,5,SOKOTO,SO,WURNO,22,0.2528410578,0.0026297499,WURNOKWARGABA
5.6611,13.6268,4801,KWARMA,11,SOKOTO,SO,GADA,4,0.1706679686,0.0010238842,GADAKWARMA
5.3730,13.1803,4804,KWASARE/SISAWA,11,SOKOTO,SO,WURNO,22,0.1958813777,0.0016992788,WURNOKWASARE/SISAWA
6.9035,12.9516,4805,KWASHBAWA,6,ZAMFARA,ZF,ZURMI,14,0.5809018308,0.0135009252,ZURMIKWASHBAWA
6.0945,9.7491,4808,KWATA,6,NIGER,NG,WUSHISHI,25,0.1885469061,0.0008544751,WUSHISHIKWATA
4.6886,9.7961,4809,KWATACHI,6,NIGER,NG,MASHEGU,16,0.4888849782,0.012872962,MASHEGUKWATACHI
6.8558,12.1553,4810,KWATARKWASHI,7,ZAMFARA,ZF,BUNGUDU,5,0.350942298,0.0067071396,BUNGUDUKWATARKWASHI
5.2928,11.6175,4817,KYABU/KANDU,6,KEBBI,KB,WASAGU/DANKO,19,0.513063606,0.0126535756,WASAGU/DANKOKYABU/KANDU
5.5253,13.7372,4818,KYADAWA/HOLAI,8,SOKOTO,SO,GADA,4,0.3804896105,0.0080443991,GADAKYADAWA/HOLAI
6.6401,12.4135,4821,KYAM BARAWA,8,ZAMFARA,ZF,KAURA NAMODA,8,0.3530954915,0.0064418716,KAURA NAMODAKYAM BARAWA
3.7564,11.9342,4823,KYANGAKWAI,6,KEBBI,KB,DANDI,8,0.8973430289,0.044620484,DANDIKYANGAKWAI
5.4091,11.8513,4824,KYARAM,4,ZAMFARA,ZF,BUKKUYUM,4,0.6638063953,0.0290932938,BUKKUYUMKYARAM
6.0196,9.0860,4826,KYARI,4,NIGER,NG,BIDA,3,0.0545029856,0.0001300948,BIDAKYARI
4.8332,12.9455,4827,LABANI,7,SOKOTO,SO,SILAME,15,0.2531183079,0.002856409,SILAMELABANI
5.3895,9.1463,4828,LABOZHI,8,NIGER,NG,MOKWA,17,0.5286105184,0.0103783321,MOKWALABOZHI
4.2541,11.1581,4834,LAFAGU/GANTE,7,KEBBI,KB,BAGUDO,5,0.6782025966,0.0197709076,BAGUDOLAFAGU/GANTE
4.3829,12.4303,4846,LAGA,12,KEBBI,KB,BIRNIN KEBBI,6,0.2855169737,0.0028236637,BIRNIN KEBBILAGA
5.4537,9.5804,4854,LAGUN,11,NIGER,NG,LAVUN,13,0.7232264648,0.030065163,LAVUNLAGUN
5.3589,13.2227,4857,LAHODU/G/BANGO,10,SOKOTO,SO,WURNO,22,0.1749457356,0.0016512069,WURNOLAHODU/G/BANGO
4.4579,12.8045,4858,LAILABA,9,KEBBI,KB,ARGUNGU,3,0.2568972589,0.0042388628,ARGUNGULAILABA
4.2127,12.9449,4859,LAIMA/JANTULLU,9,KEBBI,KB,AREWA,2,0.9086369802,0.0533326956,AREWALAIMA/JANTULLU
6.1451,13.5860,4862,LAJINGE,11,SOKOTO,SO,S/BIRNI,13,0.2822804071,0.0028217962,S/BIRNILAJINGE
5.5517,12.6740,4870,LAMBAR TURETA,6,SOKOTO,SO,TURETA,20,0.2169164664,0.0009668415,TURETALAMBAR TURETA
5.1729,12.4780,4871,LAMBARA,6,SOKOTO,SO,SHAGARI,14,0.9508217427,0.0485825377,SHAGARILAMBARA
7.0036,9.2727,4872,LAMBATA,7,NIGER,NG,GURARA,9,0.1120063012,0.0006647614,GURARALAMBATA
6.0057,9.0841,4882,LANDZUN,5,NIGER,NG,BIDA,3,0.0180671205,0.00001357783,BIDALANDZUN
4.3627,11.6564,4887,LANI/MANYAN/TAFUKKA/SHIBA,6,KEBBI,KB,KOKO/BESSE,13,0.4240564885,0.0040055043,KOKO/BESSELANI/MANYAN/TAFUKKA/SHIBA
6.7524,9.2760,4906,LEFU,8,NIGER,NG,GURARA,9,0.2647654147,0.0028429251,GURARALEFU
6.0314,9.3852,4909,LEMU,8,NIGER,NG,GBAKO,8,0.2927246829,0.0007863685,GBAKOLEMU
4.4099,11.7452,4915,LIBA/DANWA/KUKA KOGO,7,KEBBI,KB,MAIYAMA,14,0.3925482272,0.006164864,MAIYAMALIBA/DANWA/KUKA KOGO
4.6115,10.1740,4916,LIBATA/KWANGIA,5,KEBBI,KB,NGASKI,15,0.1841544741,0.001204266,NGASKILIBATA/KWANGIA
6.5410,9.6209,4927,LIMAWA \A\,1,NIGER,NG,CHANCHAGA,6,0.0319323484,0.00005393705,CHANCHAGALIMAWA \A\
6.5182,9.6231,4928,LIMAWA \B\,2,NIGER,NG,CHANCHAGA,6,0.1018532775,0.0004991002,CHANCHAGALIMAWA \B\
5.4452,12.5859,4938,LOFA,2,SOKOTO,SO,TURETA,20,0.0955928751,0.0003056492,TURETALOFA
6.0518,9.5790,4943,LOKOGOMA,7,NIGER,NG,WUSHISHI,25,0.136699189,0.0011108144,WUSHISHILOKOGOMA
3.6463,11.6082,4951,LOLO/GIRIS,8,KEBBI,KB,BAGUDO,5,0.7591024494,0.027082994,BAGUDOLOLO/GIRIS
5.6259,10.7594,4969,MABURYA,11,NIGER,NG,MARIGA,15,1.6510431284,0.10764762,MARIGAMABURYA
6.9890,12.1219,4974,MADA,3,ZAMFARA,ZF,GUSAU,7,0.4557393637,0.0118111081,GUSAUMADA
4.3272,11.3528,4978,MADACCI/FIRINI,11,KEBBI,KB,KOKO/BESSE,13,0.3581658064,0.0058823034,KOKO/BESSEMADACCI/FIRINI
5.4611,10.3281,4990,MADARA,7,NIGER,NG,KONTAGORA,11,0.2571271424,0.0032824023,KONTAGORAMADARA
6.6454,12.1822,4992,MADAWAKI,2,ZAMFARA,ZF,GUSAU,7,0.0992315605,0.000378399,GUSAUMADAWAKI
5.9441,12.0844,5006,MAGAJI,5,ZAMFARA,ZF,ANKA,1,0.2315139312,0.0027253335,ANKAMAGAJI
6.3709,8.9039,5007,MAGAJI,10,NIGER,NG,AGAIE,1,0.4765883038,0.011232201,AGAIEMAGAJI
5.1349,12.0769,5013,MAGAJIN GARI,9,ZAMFARA,ZF,GUMMI,6,0.4038588024,0.0097258905,GUMMIMAGAJIN GARI
5.2430,13.0709,5014,MAGAJIN GARI \A\,4,SOKOTO,SO,SOKOTO NORTH,16,0.0324931448,0.00007010878,SOKOTO NORTHMAGAJIN GARI \A\
5.2327,13.0693,5015,MAGAJIN GARI B,5,SOKOTO,SO,SOKOTO NORTH,16,0.0343682403,0.00008124983,SOKOTO NORTHMAGAJIN GARI B
5.2507,13.0631,5019,MAGAJIN RAFI \A\,7,SOKOTO,SO,SOKOTO NORTH,16,0.0199901119,0.00002235523,SOKOTO NORTHMAGAJIN RAFI \A\
5.2437,13.0597,5020,MAGAJIN RAFI \B\,8,SOKOTO,SO,SOKOTO NORTH,16,0.023347642,0.000032126,SOKOTO NORTHMAGAJIN RAFI \B\
5.4785,10.4077,5021,MAGAJIYA,5,NIGER,NG,KONTAGORA,11,0.0132560356,0.00001003888,KONTAGORAMAGAJIYA
7.1778,9.1772,5022,MAGAJIYA,8,NIGER,NG,SULEJA,23,0.0085968181,0.00000411224,SULEJAMAGAJIYA
6.6273,11.6977,5025,MAGAMI,4,ZAMFARA,ZF,GUSAU,7,0.6727443906,0.0238526958,GUSAUMAGAMI
5.4210,13.2924,5029,MAGARYA,2,SOKOTO,SO,WURNO,22,0.0218862495,0.00002358634,WURNOMAGARYA
4.4637,10.8831,5030,MAGO,7,NIGER,NG,AGWARA,2,0.5348762739,0.0021367644,AGWARAMAGO
4.8330,13.5068,5031,MAGONHO,9,SOKOTO,SO,TANGAZA,19,0.7943837663,0.0278838959,TANGAZAMAGONHO
4.9516,11.5740,5039,MAHUTA,4,KEBBI,KB,FAKAI,9,0.2095212778,0.0018529018,FAKAIMAHUTA
4.0479,12.1040,5059,MAIDAHINI,4,KEBBI,KB,BUNZA,7,0.1016962544,0.0002827316,BUNZAMAIDAHINI
3.9030,11.7629,5065,MAIGWAZA,10,KEBBI,KB,DANDI,8,0.3260025838,0.0025319848,DANDIMAIGWAZA
3.6567,11.8413,5067,MAIHAUSAWA,5,KEBBI,KB,DANDI,8,0.0588214252,0.0001298797,DANDIMAIHAUSAWA
4.9134,13.1611,5071,MAIKULKI,7,SOKOTO,SO,BINJI,1,0.2228582864,0.0021838337,BINJIMAIKULKI
6.4502,9.6840,5072,MAIKUNKELE,8,NIGER,NG,BOSSO,5,0.4292784572,0.0097418615,BOSSOMAIKUNKELE
4.3589,11.3540,5073,MAIKWARI/ KARAMAR/ DAMBA/ BAKOSHI,12,KEBBI,KB,KOKO/BESSE,13,0.4481754994,0.0131018378,KOKO/BESSEMAIKWARI/ KARAMAR/ DAMBA/ BAKO
6.0372,9.6582,5088,MAITO,8,NIGER,NG,WUSHISHI,25,0.0849800729,0.0002863719,WUSHISHIMAITO
6.6181,9.6173,5090,MAITUMBI,9,NIGER,NG,BOSSO,5,0.3331055959,0.0063155627,BOSSOMAITUMBI
4.3698,12.0829,5093,MAIYAMA,8,KEBBI,KB,MAIYAMA,14,0.0184671945,0.00001615121,MAIYAMAMAIYAMA
7.1789,9.2338,5098,MAJE NORTH,9,NIGER,NG,SULEJA,23,0.2181088838,0.0024611739,SULEJAMAJE NORTH
